INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
17 Avenue at Richmond Road SW,2 vehicle incident.,02/23/2017 09:17:36 PM,02/23/2017 09:20:38 PM,SW,-114.112328836434,51.0370673657691,"(51.037067365769, -114.112328836434)",1
Southbound Elbow Drive and Glenmore Trail SW,Two vehicle incident. Blocking the left lane,07/18/2017 04:50:04 PM,07/18/2017 04:53:59 PM,NW,-114.083916014515,50.9946277261426,"(50.994627726143, -114.083916014515)",1
Centre Street at McKnight Boulevard NE,Multi-vehicle incident.,06/17/2017 01:43:22 PM,06/17/2017 01:45:39 PM,NE,-114.062427515694,51.0961033579573,"(51.096103357957, -114.062427515694)",1
Southbound Metis Trail at McKnight Boulevard NE,Two vehicle incident.,07/07/2017 10:03:42 AM,07/07/2017 10:04:41 AM,NE,-113.989607026833,51.0955687653163,"(51.095568765316, -113.989607026833)",1
Dalhousie Drive at Dalton Drive NW,Incident involving a pedestrian,04/07/2017 02:54:56 PM,04/07/2017 03:13:12 PM,NW,-114.154781861185,51.1047795213047,"(51.104779521305, -114.154781861185)",1
Sarcee Trail at Stoney Trail NW,Two vehicle incident.,06/04/2017 01:06:55 PM,06/04/2017 01:23:44 PM,NW,-114.170349642145,51.1518054632903,"(51.15180546329, -114.170349642145)",1
Eastbound Stoney Trail at Beddington Trail NW,Single vehicle incident.,06/29/2017 11:45:37 AM,06/29/2017 11:47:26 AM,NW,-114.123141193355,51.1542476416392,"(51.154247641639, -114.123141193355)",1
25 Avenue at 2 Street SW,Traffic signals are flashing red.,05/25/2017 06:44:23 AM,05/25/2017 06:45:31 AM,SW,-114.069033666228,51.0305067961009,"(51.030506796101, -114.069033666228)",1
Harvest Hills Boulevard at Country Hills Road NW,Two vehicle incident.,06/08/2017 01:40:54 PM,06/08/2017 01:42:37 PM,NW,-114.069663046299,51.1422320196953,"(51.142232019695, -114.069663046299)",1
Westbound Sun Valley Boulevard at Macleod Trail SE,Two vehicle incident.,05/30/2017 12:42:19 PM,05/30/2017 12:50:53 PM,SE,-114.062257689677,50.9054870103203,"(50.90548701032, -114.062257689677)",1
Twelve Mile Coulee Road at Tuscany Way NW,Two vehicle incident.,05/27/2017 12:32:39 PM,05/27/2017 12:33:30 PM,NW,-114.25745251487,51.132425967772,"(51.132425967772, -114.25745251487)",1
Eastbound Glenmore Trail at Stoney Trail SE,Single vehicle incident.,05/19/2017 06:51:13 AM,05/19/2017 06:52:57 AM,SE,-113.9292702476,50.9796402585989,"(50.979640258599, -113.9292702476)",1
Eastbound Spruce Meadows Trail at 85 Street SW,Single vehicle incident.,05/20/2017 10:43:08 PM,05/20/2017 10:45:22 PM,SW,-114.209667070766,50.892512016506,"(50.892512016506, -114.209667070766)",1
Stoney Trail at 14 Street NW,Two vehicle incident.,06/01/2017 07:00:52 AM,06/01/2017 07:05:39 AM,NW,-114.098853959208,51.17218956269,"(51.17218956269, -114.098853959208)",1
Westbound 32 Avenue at 56 Street NE,2 vehicle incident blocking westbound and northbound lanes.,04/07/2017 03:11:32 PM,04/07/2017 03:13:12 PM,NE,-113.953004867024,51.081458053482,"(51.081458053482, -113.953004867024)",1
Westbound Anderson Road at 24 Street SW,2 vehicle incident.,03/13/2017 06:26:40 PM,03/13/2017 06:37:45 PM,SW,-114.121010181952,50.9505957284917,"(50.950595728492, -114.121010181952)",1
Westbound 90 Avenue at 24 Street SW,Two vehicle incident.,04/26/2017 06:21:16 PM,04/26/2017 06:50:42 PM,SW,-114.118381413701,50.9722702921877,"(50.972270292188, -114.118381413701)",1
64 Avenue at Martindale Drive NE,2 vehicle incident.,03/31/2017 07:43:35 AM,03/31/2017 07:45:33 AM,NE,-113.95587333763,51.1109006478903,"(51.11090064789, -113.95587333763)",1
Northbound Coventry Hills Boulevard at Country Village Landing NE,2 vehicle incident.,02/12/2017 12:10:19 PM,02/12/2017 12:14:14 PM,NE,-114.052958389878,51.157315028583,"(51.157315028583, -114.052958389878)",1
Southbound Deerfoot Trail at 16 Avenue NE,2 vehicle incident in the left lane.,03/10/2017 09:09:47 AM,03/10/2017 09:23:18 AM,NE,-114.028551292521,51.0673798693422,"(51.067379869342, -114.028551292521)",1
Southbound Deerfoot Trail south of 8 Avenue NE,Two vehicle incident.,06/26/2017 08:37:08 AM,06/26/2017 08:43:39 AM,NE,-114.028551292521,51.0673798693422,"(51.067379869342, -114.028551292521)",1
Westbound 16 Avenue at Edmonton Trail NE,2 vehicle incident blocking the right lane.,03/10/2017 09:24:33 PM,03/10/2017 09:25:31 PM,NE,-114.05616755207,51.0668426165042,"(51.066842616504, -114.05616755207)",1
Westbound Bow Trail approaching Sarcee Trail SW,Multi vehicle incident blocking the right lanes,02/18/2017 11:50:18 PM,02/18/2017 11:53:13 PM,SW,-114.159393412205,51.050941449658,"(51.050941449658, -114.159393412205)",1
53 Avenue and 2 Street SW,Two vehicle incident.,04/21/2017 11:15:27 AM,04/21/2017 11:24:37 AM,SW,-114.068600313756,51.0056122948791,"(51.005612294879, -114.068600313756)",1
Canyon Meadows Drive and Southbound Macleod Trail SW,Single vehicle incident on the ramp from Canyon Meadows Drive to southbound Macleod Trail.Canyon Meadows Drive is closed in both directions.,03/01/2017 10:20:01 PM,03/01/2017 10:24:53 PM,SW,-114.069887062744,50.9315770426822,"(50.931577042682, -114.069887062744)",1
Macleod Trail at 71 Avenue S,". Macleod Tr at 71 Ave S. The traffic lights are blank, crews have been dispatched.",06/16/2017 06:50:11 AM,06/16/2017 07:25:44 AM,SE,-114.072044387077,50.9896280525839,"(50.989628052584, -114.072044387077)",1
Memorial Drive at 68 Street NE,2 vehicle incident,04/08/2017 09:08:46 AM,04/08/2017 09:25:09 AM,NE,-113.935553325751,51.052473506141,"(51.052473506141, -113.935553325751)",1
Barlow Trail at 50 Avenue SE,Two vehicle incident.,06/14/2017 05:41:18 PM,06/14/2017 05:45:42 PM,SE,-114.00187681285,51.0087321875477,"(51.008732187548, -114.00187681285)",1
Airport Trail and 19 Street NE,Two vehicle incident.,07/18/2017 03:55:56 PM,07/18/2017 04:06:41 PM,NE,-114.013414246829,51.1394313335683,"(51.139431333568, -114.013414246829)",1
Centre Street at 72 Avenue NE,2 vehicle incident.,03/03/2017 08:51:25 AM,03/03/2017 08:52:41 AM,NE,-114.069730521088,51.118339414883,"(51.118339414883, -114.069730521088)",1
Eastbound Peigan Trail at 36 Street SE,Multi-vehicle incident.,08/01/2017 05:39:16 PM,08/01/2017 05:39:46 PM,SE,-113.979115398051,51.0150391868302,"(51.01503918683, -113.979115398051)",1
Eastbound Glenmore Trail at Blackfoot Trail SE,Two vehicle incident. Blocking the right lane.,06/05/2017 04:35:02 PM,06/05/2017 04:53:28 PM,SE,-114.056911752152,50.9939810922884,"(50.993981092288, -114.056911752152)",1
Northbound Deerfoot Trail past Glenmore Trail SE,Single vehicle incident.,03/05/2017 09:31:10 PM,03/05/2017 09:32:23 PM,SE,-114.032335745904,50.9995337739843,"(50.999533773984, -114.032335745904)",1
Northbound Macleod Trail at Canyon Meadows Drive SE,Two vehicle incident. Blocking the right lane.,04/21/2017 05:42:16 PM,04/21/2017 05:50:17 PM,SE,-114.068680793809,50.9311590982465,"(50.931159098247, -114.068680793809)",1
Eastbound Falconridge Drive at 52 Street NE,Two vehicle incident.,05/18/2017 08:18:12 AM,05/18/2017 08:20:35 AM,NE,-113.958472408487,51.0961555294058,"(51.096155529406, -113.958472408487)",1
